Id,WnvPresent
1,0.000893517006803907
2,0.000392907825293141
3,0.00109957998681514
4,4.48693478006064e-10
5,3.56406528376485e-10
6,2.99618396081267e-10
7,3.51042517555145e-10
8,3.51042517555145e-10
9,0.000926206269489189
10,0.000407289799096924
11,0.00113979945007098
12,4.65124118425674e-10
13,3.69457726574281e-10
14,3.10590078022687e-10
15,3.63897291830355e-10
16,3.63897291830355e-10
17,0.000953542092972357
18,0.000419316877674837
19,0.00117343180592753
20,4.78864779273281e-10
21,3.80372218250327e-10
22,3.1976550616403e-10
23,3.74647517571925e-10
24,3.74647517571925e-10
25,0.000854637187310928
26,0.000375802939514898
27,0.00105174313838054
28,4.29152670954248e-10
29,3.40884860367009e-10
30,2.86569877315513e-10
31,3.35754454680568e-10
32,3.35754454680568e-10
33,0.000869386802047694
34,0.000382291834391952
35,0.00106989083103519
36,4.36565576121442e-10
37,3.46773084568063e-10
38,2.91519899693094e-10
39,3.41554059578079e-10
40,3.41554059578079e-10
41,0.000848807586898932
42,0.000373238314716472
43,0.00104457045617738
44,4.26222873416004e-10
45,3.38557661464589e-10
46,2.8461348329064e-10
47,3.33462280726059e-10
48,3.33462280726059e-10
49,0.000848807586898932
50,0.000373238314716472
51,0.00104457045617738
52,4.26222873416004e-10
53,3.38557661464589e-10
54,2.8461348329064e-10
55,3.33462280726059e-10
56,3.33462280726059e-10
57,0.000863456679385852
58,0.000379682943681616
59,0.00106259451677174
60,4.33585171158914e-10
61,3.44405687139727e-10
62,2.89529712185492e-10
63,3.39222292095911e-10
64,3.39222292095911e-10
65,0.000864935410373591
66,0.000380333493109877
67,0.0010644139221532
68,4.34328359418281e-10
69,3.44996016976147e-10
70,2.90025981654971e-10
71,3.39803737314969e-10
72,3.39803737314969e-10
73,0.000864935410373591
74,0.000380333493109877
75,0.0010644139221532
76,4.34328359418281e-10
77,3.44996016976147e-10
78,2.90025981654971e-10
79,3.39803737314969e-10
80,3.39803737314969e-10
81,0.000848807586898932
82,0.000373238314716472
83,0.00104457045617738
84,4.26222873416004e-10
85,3.38557661464589e-10
86,2.8461348329064e-10
87,3.33462280726059e-10
88,3.33462280726059e-10
89,0.000857566971612936
90,0.000377091850220764
91,0.00105534790847585
92,4.30625113228363e-10
93,3.4205445178057e-10
94,2.8755311155933e-10
95,3.36906443439582e-10
96,3.36906443439582e-10
97,0.000864935410373591
98,0.000380333493109877
99,0.0010644139221532
100,4.34328359418281e-10
101,3.44996016976147e-10
102,2.90025981654971e-10
103,3.39803737314969e-10
104,3.39803737314969e-10
105,0.000912052771838599
106,0.000401062759036827
107,0.00112238566963039
108,4.58009998194218e-10
109,3.63806833439706e-10
110,3.0583957150076e-10
111,3.58331446105127e-10
112,3.58331446105127e-10
113,0.00093097269793368
114,0.000409386881847134
115,0.00114566380798339
116,4.67519963468228e-10
117,3.71360795943652e-10
118,3.12189921310391e-10
119,3.65771719511445e-10
120,3.65771719511445e-10
121,0.000947038487753944
122,0.000416455420625951
123,0.00116543019904688
124,4.75595600385781e-10
125,3.77775441708723e-10
126,3.17582487727273e-10
127,3.72089823191716e-10
128,3.72089823191716e-10
129,0.000854637187310928
130,0.000375802939514898
131,0.00105174313838054
132,4.29152670954248e-10
133,3.40884860367009e-10
134,2.86569877315513e-10
135,3.35754454680568e-10
136,3.35754454680568e-10
137,0.000969996984550293
138,0.000426556796170909
139,0.00119367671186955
140,4.87136379188035e-10
141,3.86942521485291e-10
142,3.25288928325021e-10
143,3.81118936036742e-10
144,3.81118936036742e-10
145,0.000973321848874564
146,0.000428019705459437
147,0.00119776736527057
148,4.88807766194294e-10
149,3.88270138822601e-10
150,3.26405009388555e-10
151,3.82426572388312e-10
152,3.82426572388312e-10
153,0.000885905295533256
154,0.000389559051135827
155,0.0010902147774318
156,4.44867749437318e-10
157,3.53367672889034e-10
158,2.97063737469171e-10
159,3.48049397632045e-10
160,3.48049397632045e-10
161,0.000942189882655964
162,0.000414322144320798
163,0.00115946477951852
164,4.73158371068378e-10
165,3.75839499952176e-10
166,3.15955009783246e-10
167,3.70183017861415e-10
168,3.70183017861415e-10
169,0.00088894217476325
170,0.000390895123437156
171,0.00109395126176273
172,4.4639411085829e-10
173,3.54580093398384e-10
174,2.98082976623017e-10
175,3.49243570897833e-10
176,3.49243570897833e-10
177,0.000905831886715467
178,0.000398325820137811
179,0.00111473175680834
180,4.54883193548732e-10
181,3.61323147709153e-10
182,3.03751624519565e-10
183,3.55885140489892e-10
184,3.55885140489892e-10
185,0.000919888935763484
186,0.0004045103827279
187,0.00113202692159756
188,4.61948746141346e-10
189,3.66935462561663e-10
190,3.08469699640611e-10
191,3.61412988546218e-10
192,3.61412988546218e-10
193,0.000907383122354025
194,0.000399008299553358
195,0.00111664033330616
196,4.55662887761791e-10
197,3.61942474981154e-10
198,3.0427227111025e-10
199,3.56495146725595e-10
200,3.56495146725595e-10
201,0.000853176047576489
202,0.000375160136559023
203,0.00104994536843734
204,4.28418338922702e-10
205,3.40301565215887e-10
206,2.86079521657814e-10
207,3.35179938272966e-10
208,3.35179938272966e-10
209,0.00084735640535153
210,0.000372599896861799
211,0.00104278493387461
212,4.25493554621755e-10
213,3.37978348431748e-10
214,2.84126475259311e-10
215,3.32891686504825e-10
216,3.32891686504825e-10
217,0.000848807586898932
218,0.000373238314716472
219,0.00104457045617738
220,4.26222873416004e-10
221,3.38557661464589e-10
222,2.8461348329064e-10
223,3.33462280726059e-10
224,3.33462280726059e-10
225,0.000848807586898932
226,0.000373238314716472
227,0.00104457045617738
228,4.26222873416004e-10
229,3.38557661464589e-10
230,2.8461348329064e-10
231,3.33462280726059e-10
232,3.33462280726059e-10
233,0.00089504717212352
234,0.000393581025335231
235,0.00110146264997197
236,4.49462562714408e-10
